Afghanistan|افغانستان (Afghanistan)
Jersey|Jersey
Jordan|الأردن (Jordan)
Kazakhstan|Қазақстан (Kazakhstan)
Kenya|Kenya
Kiribati|Kiribati
North Korea|북한 (Korea, North)
South Korea|대한민국 (Korea, South)
Kuwait|الكويت (Kuwait)
Kyrgyzstan|Кыргызстан (Kyrgyzstan)
Laos|ປະເທດລາວ (Laos)
Latvia|Latvija (Latvia)
Lebanon|لبنان (Lebanon)
Lesotho|Lesotho
Liberia|Liberia
Libya|ليبيا (Libya)
Liechtenstein|Liechtenstein
Lithuania|Lietuva (Lithuania)
Luxembourg|Luxembourg
Macao|Macao
Macedonia|Makedonija (Macedonia)
Madagascar|Madagascar
Malawi|Malawi
Malaysia|Malaysia
Maldives|Dhivehi Raajje (Maldives)
Mali|Mali
Malta|Malta
Marshall Islands|Marshall Islands
Martinique|Martinique
Mauritania|Mauritania
Mauritius|Maurice (Mauritius)
Mayotte|Mayotte
Mexico|Mexico
Micronesia|Micronesia, Federated States of
Moldova|Moldova, Republic of
Monaco|Monaco
Mongolia|Mongolia
Montenegro|Crna Gora (Montenegro)
Montserrat|Montserrat
Morocco|المغرب (Morocco)
Mozambique|Moçambique (Mozambique)
Myanmar|Myanmar
Namibia|Namibia
Nauru|Nauru
Nepal|नेपाल (Nepal)
Netherlands|Netherlands
Netherlands Antilles|Netherlands Antilles
New Caledonia|Nouvelle-Calédonie (New Caledonia)
New Zealand|New Zealand
Nicaragua|Nicaragua
Niger|Niger
Nigeria|Nigeria
Niue|Niue
Norfolk Island|Norfolk Island
Northern Mariana Islands|Northern Mariana Islands
Norway|Norge (Norway)
Oman|عُمان (Oman)
Pakistan|پاکستان (Pakistan)
Palau|Palau
Palestinian Territory|فلسطين (Palestine)
Panama|Panama
Papua New Guinea|Papua New Guinea
Paraguay|Paraguay
Peru|Peru
Philippines|Philippines
Pitcairn|Pitcairn
Poland|Polska (Poland)
Portugal|Portugal
Puerto Rico|Puerto Rico
Qatar|قطر (Qatar)
Reunion|Reunion
Romania|Romania
Russian Federation|Россия (Russian Federation)
Rwanda|Rwanda
Saint Helena|Saint Helena
Saint Kitts and Nevis|Saint Kitts and Nevis
Saint Lucia|Saint Lucia
Saint Pierre and Miquelon|Saint Pierre and Miquelon
Saint Vincent and The Grenadines|Saint Vincent and The Grenadines
Samoa|Samoa
San Marino|San Marino
Sao Tome and Principe|Sao Tome and Principe
Saudi Arabia|المملكة العربية السعودية (Saudi Arabia)
Senegal|Senegal
Serbia|Serbia
Seychelles|Seychelles
Sierra Leone|Sierra Leone
Singapore|Singapore
Slovakia|Slovakia
Slovenia|Slovenia
Solomon Islands|Solomon Islands
Somalia|الصومال (Somalia)
South Africa|South Africa
South Georgia and the South Sandwich Islands|South Georgia and The South Sandwich Islands
Spain|Spain
Sri Lanka|Sri Lanka
Sudan|Sudan
Suriname|Suriname
Svalbard and Jan Mayen|Svalbard and Jan Mayen
Swaziland|Swaziland
Sweden|Sweden
Switzerland|Suisse (Switzerland)
Syria|Syrian Arab Republic
Taiwan|中華民國 (Taiwan)
Tajikistan|Тоҷикистон (Tajikistan)
Tanzania|Tanzania
Thailand|ประเทศไทย (Thailand)
Timor-leste|Timor-leste
Togo|Togo
Tokelau|Tokelau
Tonga|Tonga
Trinidad and Tobago|Trinidad and Tobago
Tunisia|Tunisia
Turkey|Türkiye (Turkey)
Turkmenistan|Turkmenistan
Turks and Caicos Islands|Turks and Caicos Islands
Tuvalu|Tuvalu
Uganda|Uganda
Ukraine|Ukraїna (Ukraine)
United Arab Emirates|العربيّة (United Arab Emirates)
United Kingdom|United Kingdom
United States|United States
United States Minor Outlying Islands|United States Minor Outlying Islands
Uruguay|Uruguay
Uzbekistan|O‘zbekiston (Uzbekistan)
Vanuatu|Vanuatu
Vatican|Città del Vaticano (Vatican City)
Venezuela|Venezuela
Viet Nam|Viet Nam
British Virgin Islands|Virgin Islands, British
U.S. Virgin Islands|Virgin Islands, U.S.
Wallis and Futuna|Wallis and Futuna
Western Sahara|Western Sahara
Yemen|اليمن (Yemen)
Zambia|Zambia
Zimbabwe|Zimbabwe 
